sample_id,domain,complexity,l5_fact_l0_norm,l5_fact_reconstruction_error,l5_fact_gini,l5_fact_sphericity,l5_fact_shape_class,l5_fact_dimensionality,l5_hall_l0_norm,l5_hall_reconstruction_error,l5_hall_gini,l5_hall_sphericity,l5_hall_shape_class,l5_hall_dimensionality,l12_fact_l0_norm,l12_fact_reconstruction_error,l12_fact_gini,l12_fact_sphericity,l12_fact_shape_class,l12_fact_dimensionality,l12_hall_l0_norm,l12_hall_reconstruction_error,l12_hall_gini,l12_hall_sphericity,l12_hall_shape_class,l12_hall_dimensionality,l20_fact_l0_norm,l20_fact_reconstruction_error,l20_fact_gini,l20_fact_sphericity,l20_fact_shape_class,l20_fact_dimensionality,l20_hall_l0_norm,l20_hall_reconstruction_error,l20_hall_gini,l20_hall_sphericity,l20_hall_shape_class,l20_hall_dimensionality,centroid_drift_fact,centroid_drift_hall,centroid_drift_diff,axis_twist_fact,axis_twist_hall,axis_twist_diff,stability_fact,stability_hall,stability_diff,entropy_fact,entropy_hall,entropy_diff,cross_layer_consistency_fact,cross_layer_consistency_hall,cross_layer_consistency_diff,run_id
geo_001,entity,3,1031,130.26165771484375,0.25250898195114013,0.7799367308616638,Triaxial,476.9288091278017,1047,132.30178833007812,0.2533828547910153,0.7819730043411255,Triaxial,481.30594134032896,1364,312.9044189453125,0.24055256332321417,0.8561787009239197,Triaxial,657.172459109218,1410,322.2677307128906,0.2411813934892788,0.8388022184371948,Triaxial,667.946725933705,1210,567.2484741210938,0.20748972591588322,0.719520092010498,Triaxial,650.3473767457425,1165,538.4049072265625,0.20696136911673224,0.7389913201332092,Triaxial,635.5608761864494,5.931743330941488,6.070247344260119,0.13850401331863083,0.32203360287353744,0.8724522778743536,0.5504186750008162,1.0,1.0,0.0,3.70784854888916,3.707509994506836,-0.00033855438232421875,0.0614519864320755,0.05840908735990524,0.0030428990721702576,20251229_021806
geo_002,entity,2,1026,128.4310760498047,0.25141224473421486,0.7772630453109741,Triaxial,473.2145787965376,1031,129.34182739257812,0.25064969594632336,0.7801597118377686,Triaxial,478.8559863209652,1325,302.9667053222656,0.2407643521653453,0.8239577412605286,Triaxial,645.1752727129818,1359,311.9527587890625,0.24360041549559952,0.8147426843643188,Triaxial,650.1473017436762,1149,530.330810546875,0.20845808952527012,0.6750454902648926,Triaxial,625.6352760354412,1144,520.0464477539062,0.2084090739933202,0.6903878450393677,Triaxial,623.5571880969636,6.19523786128503,13.605106264475069,7.409868403190039,1.0653270076852215,0.2639295804557845,-0.801397427229437,0.8181818181818182,1.0,-0.18181818181818177,3.703035593032837,3.705803871154785,0.002768278121948242,0.0630045160651207,0.06151103973388672,0.0014934763312339783,20251229_021806
geo_003,entity,3,1038,129.10887145996094,0.2515353476287392,0.7783833742141724,Triaxial,478.18925711190883,1027,127.89716339111328,0.25198168219902217,0.7782950401306152,Triaxial,472.96723856505366,1354,307.501220703125,0.23816496671082943,0.8417240381240845,Triaxial,653.2971856138462,1362,304.643798828125,0.2390520404564156,0.841289222240448,Triaxial,657.0401732974079,1266,578.8220825195312,0.20854644893163754,0.7040707468986511,Triaxial,673.9035744310479,1140,510.3564453125,0.20684633419601672,0.6526241898536682,Triaxial,619.3925452384387,5.933957002387488,6.570771258326076,0.6368142559385879,0.24708155049174452,0.201741189079591,-0.04534036141215353,0.8181818181818182,1.0,-0.18181818181818177,3.7007296085357666,3.697808027267456,-0.002921581268310547,0.06890919804573059,0.06328630447387695,0.005622893571853638,20251229_021806
geo_004,entity,4,1024,128.83856201171875,0.2479865246180104,0.7789871096611023,Triaxial,476.01162928108533,1028,128.35061645507812,0.24952965111194025,0.7771839499473572,Triaxial,475.59372849916895,1413,314.56573486328125,0.23848924153799977,0.8179913759231567,Triaxial,669.603024563911,1345,301.8943176269531,0.23700262979652909,0.8225492835044861,Triaxial,653.7563254600748,1043,494.4985046386719,0.20920289646926649,0.7251797914505005,Triaxial,577.5409785356761,1104,526.3135375976562,0.21178231249986412,0.723106861114502,Triaxial,603.5574390271023,7.0179445278138815,6.576558515196803,-0.44138601261707855,0.5941319352659642,0.1532333996180995,-0.4408985356478647,1.0,1.0,0.0,3.702937602996826,3.7010061740875244,-0.0019314289093017578,0.05869937688112259,0.0614459328353405,-0.0027465559542179108,20251229_021806
geo_005,entity,3,1051,131.1231689453125,0.25109038194768285,0.7741491794586182,Triaxial,483.8340055962219,1065,131.33160400390625,0.2525071384862956,0.7776378989219666,Triaxial,487.06440950109726,1355,306.9821472167969,0.23898656854540423,0.8395571708679199,Triaxial,656.1810845340615,1373,309.935546875,0.23957070049149776,0.8271492123603821,Triaxial,659.2946513863121,1355,630.495849609375,0.21591256082099086,0.6984820365905762,Triaxial,697.3776504440702,1254,574.248779296875,0.21225734912775862,0.6860897541046143,Triaxial,666.0349323123685,5.705678563279779,6.251345684551475,0.5456671212716957,0.5760728898568483,0.5510743751359514,-0.02499851472089698,1.0,1.0,0.0,3.705169439315796,3.7038583755493164,-0.0013110637664794922,0.07289499044418335,0.06778178364038467,0.0051132068037986755,20251229_021806
geo_006,entity,4,1065,134.0394287109375,0.25274684585934293,0.7752578258514404,Triaxial,488.97119929717354,1057,133.45437622070312,0.25076787317267324,0.7771583795547485,Triaxial,487.7196161410067,1474,344.6402587890625,0.2448763079407521,0.8405858278274536,Triaxial,678.3732340030539,1409,327.2481384277344,0.2406176644392175,0.8278659582138062,Triaxial,667.1289316051867,1168,530.6514282226562,0.2014780368291036,0.6915671229362488,Triaxial,630.2648778260582,1144,521.1226196289062,0.2041077722806004,0.686909556388855,Triaxial,623.687215500224,17.51581652237976,9.622284962128884,-7.893531560250878,2.2774402234457267,0.6549155822666805,-1.6225246411790462,1.0,1.0,0.0,3.7119953632354736,3.709597110748291,-0.002398252487182617,0.07006143033504486,0.06378176808357239,0.006279662251472473,20251229_021806
geo_007,entity,3,1020,129.46070861816406,0.24793449169515358,0.7793437838554382,Triaxial,474.48192939496585,1034,130.7450714111328,0.2487977944102333,0.7829960584640503,Triaxial,482.04665199786416,1380,316.74737548828125,0.2403339348225535,0.8489516377449036,Triaxial,658.4840338762485,1430,327.38214111328125,0.24237692566062718,0.8454978466033936,Triaxial,671.175889649492,1217,558.3958129882812,0.21014987140159147,0.6674947142601013,Triaxial,646.0602197741835,1236,564.0239868164062,0.2092460058658936,0.7015543580055237,Triaxial,661.1486479984682,6.729193627942423,7.731749417794157,1.0025557898517343,0.6161204754410254,2.134417067511554,1.5182965920705287,1.0,1.0,0.0,3.703862190246582,3.707383871078491,0.0035216808319091797,0.06120165064930916,0.06523983180522919,-0.004038181155920029,20251229_021806
geo_008,entity,4,1007,127.56902313232422,0.24953789372585966,0.7750014662742615,Triaxial,468.47633158913334,1019,127.99846649169922,0.24827351035657919,0.7820687294006348,Triaxial,475.81454707733917,1366,306.2306213378906,0.23742352185405702,0.8589745163917542,Triaxial,656.8125093154698,1479,336.58978271484375,0.2406537657889496,0.8492631316184998,Triaxial,682.0680244102874,1294,585.7107543945312,0.20661971609984642,0.7179871797561646,Triaxial,672.7961415690123,1291,580.630615234375,0.20177666020259477,0.7440313100814819,Triaxial,678.3649569574884,8.582039275732692,12.92324798148695,4.3412087057542585,0.9468804918128891,2.2896111262777015,1.3427306344648122,1.0,0.8181818181818182,0.18181818181818177,3.7023775577545166,3.7060298919677734,0.003652334213256836,0.07173702120780945,0.0732521265745163,-0.0015151053667068481,20251229_021806
geo_009,entity,3,1019,128.77867126464844,0.2478002402668129,0.7803207635879517,Triaxial,477.51548166348647,1029,130.0579071044922,0.24945465273579415,0.7785226702690125,Triaxial,479.0546231330051,1430,324.7012939453125,0.24067322461475205,0.8511356711387634,Triaxial,673.1880932393972,1494,337.1968688964844,0.24011179820076056,0.8422141075134277,Triaxial,686.4123165782053,1168,546.3116455078125,0.2057812257635263,0.6853237152099609,Triaxial,634.777770873411,1116,530.5690307617188,0.2058408798601723,0.6709089875221252,Triaxial,615.4532284648219,6.868755771035598,6.361528118153239,-0.5072276528823592,1.3230820601677415,0.6635235939053725,-0.659558466262369,1.0,1.0,0.0,3.705198287963867,3.704624652862549,-0.0005736351013183594,0.06654046475887299,0.06624100357294083,0.0002994611859321594,20251229_021806
geo_010,entity,2,1016,127.07870483398438,0.2534506257374973,0.7725131511688232,Triaxial,467.07227858494133,1050,128.87245178222656,0.25354362922868545,0.7761252522468567,Triaxial,479.8941028360519,1375,310.78253173828125,0.24086958325788488,0.8516963124275208,Triaxial,659.0056313208474,1355,306.4160461425781,0.24163181560444347,0.8286030292510986,Triaxial,653.457034007926,1028,473.1327819824219,0.2025304925215481,0.6515123844146729,Triaxial,568.6049776678279,1071,478.03973388671875,0.20578435976403364,0.675814151763916,Triaxial,588.6841241602172,6.771322337536546,6.644227134928687,-0.12709520260785911,1.0939639725520784,0.9177057611096713,-0.17625821144240716,1.0,1.0,0.0,3.699341058731079,3.699878454208374,0.0005373954772949219,0.059229422360658646,0.06967905163764954,-0.01044962927699089,20251229_021806
