sample_id,domain,complexity,condition,l0_norm,l2_norm,reconstruction_error,gini_coefficient,total_energy,run_id
geo_001,entity,3,fact,727,133.1277618408203,134.9055938720703,0.2665595503469449,3008.843509197235,20251228_210046
geo_001,entity,3,hallucination,716,123.41963195800781,123.55708312988281,0.25996432937420977,2879.5026779174805,20251228_210046
geo_002,entity,2,fact,665,112.72903442382812,117.86543273925781,0.24309112925487208,2554.69218814373,20251228_210046
geo_002,entity,2,hallucination,382,91.08723449707031,117.13758087158203,0.259753792812051,1470.555612564087,20251228_210046
geo_003,entity,3,fact,536,101.0454330444336,121.03723907470703,0.2395442405659045,2049.5994782447815,20251228_210046
geo_003,entity,3,hallucination,950,154.5505828857422,157.61483764648438,0.2721369401357847,4003.2976121902466,20251228_210046
geo_004,entity,4,fact,505,106.44701385498047,114.04639434814453,0.25256710441798824,2001.8196196556091,20251228_210046
geo_004,entity,4,hallucination,982,150.8672637939453,148.21697998046875,0.2550325924031005,4078.9965974092484,20251228_210046
geo_005,entity,3,fact,1478,198.33226013183594,230.3840789794922,0.2726073726564544,6596.396635055542,20251228_210046
geo_005,entity,3,hallucination,921,146.1065216064453,147.04220581054688,0.25344135859163575,3822.723233103752,20251228_210046
geo_006,entity,4,fact,712,122.83505249023438,126.5929183959961,0.24808605771318226,2819.4146642684937,20251228_210046
geo_006,entity,4,hallucination,278,69.617919921875,88.33677673339844,0.24630567610877563,962.8618652820587,20251228_210046
geo_007,entity,3,fact,832,139.5834197998047,152.8928985595703,0.2585847881207637,3421.790238261223,20251228_210046
geo_007,entity,3,hallucination,743,120.68608856201172,125.01356506347656,0.250498401098201,2913.631871700287,20251228_210046
geo_008,entity,4,fact,542,97.04214477539062,106.05743408203125,0.23166918973548944,2024.5322505235672,20251228_210046
geo_008,entity,4,hallucination,520,95.39595794677734,106.72245025634766,0.2452005867965592,1953.9360018968582,20251228_210046
geo_009,entity,3,fact,421,93.51972961425781,112.56623077392578,0.2590466908897697,1618.9701124429703,20251228_210046
geo_009,entity,3,hallucination,599,112.30242919921875,110.00298309326172,0.25788085941110017,2352.1690220832825,20251228_210046
geo_010,entity,2,fact,773,130.29156494140625,138.60655212402344,0.25053581074621234,3040.1854647397995,20251228_210046
geo_010,entity,2,hallucination,687,125.61962890625,126.12645721435547,0.2561854603213516,2808.823249220848,20251228_210046
geo_011,entity,3,fact,768,127.15805053710938,131.0666046142578,0.2525598399932911,3098.3829423189163,20251228_210046
geo_011,entity,3,hallucination,690,117.2662353515625,120.95210266113281,0.2449311297605068,2707.889308810234,20251228_210046
geo_012,entity,4,fact,408,82.249267578125,110.93470001220703,0.23755088350661735,1462.3568464517593,20251228_210046
geo_012,entity,4,hallucination,502,102.94142150878906,119.39830780029297,0.24517853789377098,2004.3258147239685,20251228_210046
geo_013,entity,2,fact,869,135.50283813476562,143.9414520263672,0.2489593961750982,3569.7020317316055,20251228_210046
geo_013,entity,2,hallucination,630,119.4637222290039,130.20208740234375,0.2628379984703315,2488.771992325783,20251228_210046
geo_014,entity,3,fact,704,130.8368377685547,136.61831665039062,0.26458797129211487,3026.380817770958,20251228_210046
geo_014,entity,3,hallucination,772,120.75834655761719,135.51028442382812,0.2391055522144072,3009.2615152597427,20251228_210046
geo_015,entity,2,fact,937,156.91787719726562,156.46429443359375,0.26524714800951754,4059.0391005277634,20251228_210046
geo_015,entity,2,hallucination,601,122.03999328613281,121.52137756347656,0.2651935157810046,2448.1836273670197,20251228_210046
geo_016,entity,3,fact,391,104.3455581665039,122.53950500488281,0.27004689436901574,1591.7562174797058,20251228_210046
geo_016,entity,3,hallucination,522,95.10336303710938,118.46532440185547,0.23535704426873028,1952.9177964925766,20251228_210046
geo_017,entity,2,fact,1076,162.31338500976562,169.48397827148438,0.26202772318734247,4716.70345890522,20251228_210046
geo_017,entity,2,hallucination,790,132.40634155273438,147.06382751464844,0.25938625077392796,3217.541049718857,20251228_210046
geo_018,entity,3,fact,273,60.339805603027344,100.6711654663086,0.20937824231635438,922.3814918994904,20251228_210046
geo_018,entity,3,hallucination,724,121.77192687988281,124.1373062133789,0.23952450833515004,2880.8561363220215,20251228_210046
geo_019,entity,2,fact,441,87.51713562011719,104.0901870727539,0.2332959875565932,1596.0506895780563,20251228_210046
geo_019,entity,2,hallucination,511,97.3678207397461,114.67646026611328,0.23933081644652954,1916.8746355772018,20251228_210046
geo_020,entity,3,fact,558,107.64505767822266,126.83424377441406,0.24978294658386857,2183.629215478897,20251228_210046
geo_020,entity,3,hallucination,356,85.00691986083984,114.24376678466797,0.2567499820007473,1367.196540236473,20251228_210046
lit_001,entity,2,fact,435,93.07627868652344,110.41407012939453,0.25521105341102057,1668.4967266321182,20251228_210046
lit_001,entity,2,hallucination,801,125.42471313476562,138.54522705078125,0.24494606953392473,3189.3399809598923,20251228_210046
lit_002,entity,2,fact,364,92.8373794555664,119.19281005859375,0.26576111445175843,1390.0079987049103,20251228_210046
lit_002,entity,2,hallucination,430,89.9682388305664,117.90271759033203,0.2456651456642105,1646.5191884040833,20251228_210046
lit_003,entity,3,fact,459,93.61595916748047,116.34078216552734,0.24710252501434793,1770.563531279564,20251228_210046
lit_003,entity,3,hallucination,774,127.97456359863281,123.73493957519531,0.2564797010577984,3093.2237372398376,20251228_210046
lit_004,entity,2,fact,746,124.32174682617188,132.09176635742188,0.24989054522300647,3009.9075286388397,20251228_210046
lit_004,entity,2,hallucination,496,88.75740814208984,113.97089385986328,0.2271069574282587,1786.616899728775,20251228_210046
lit_005,entity,3,fact,700,119.63212585449219,119.66633605957031,0.24954961233271789,2734.1392315626144,20251228_210046
lit_005,entity,3,hallucination,665,116.99039459228516,116.11034393310547,0.2600896806440707,2616.0365686416626,20251228_210046
lit_006,entity,2,fact,523,121.50848388671875,121.72765350341797,0.2751041726996004,2223.064475297928,20251228_210046
lit_006,entity,2,hallucination,381,79.68519592285156,96.64585876464844,0.2303700274377829,1400.1138042211533,20251228_210046
lit_007,entity,3,fact,947,144.49200439453125,152.97911071777344,0.2551486813801227,3910.0249460935593,20251228_210046
lit_007,entity,3,hallucination,612,126.33890533447266,135.04855346679688,0.2697604767542028,2619.331544995308,20251228_210046
lit_008,entity,2,fact,404,81.2222671508789,96.4632797241211,0.2160922362782538,1395.2702593803406,20251228_210046
lit_008,entity,2,hallucination,755,119.92035675048828,121.5273666381836,0.23705521824438347,2902.194310903549,20251228_210046
lit_009,entity,3,fact,522,93.36767578125,108.64350891113281,0.2333742520979416,1934.3933309316635,20251228_210046
lit_009,entity,3,hallucination,633,112.04825592041016,116.44578552246094,0.2484174687730476,2449.2610586881638,20251228_210046
lit_010,entity,2,fact,333,73.41069030761719,111.94715118408203,0.22872265497265154,1210.7734326124191,20251228_210046
lit_010,entity,2,hallucination,348,69.9404067993164,100.94190216064453,0.21486782181066721,1206.2882217168808,20251228_210046
lit_011,entity,3,fact,332,70.11952209472656,96.85774230957031,0.22734489774943034,1147.6659988164902,20251228_210046
lit_011,entity,3,hallucination,772,127.19876861572266,130.36135864257812,0.2586939267304238,3083.775593519211,20251228_210046
lit_012,entity,2,fact,606,108.94186401367188,117.98389434814453,0.24701889329343185,2382.112967967987,20251228_210046
lit_012,entity,2,hallucination,386,86.3292236328125,102.08855438232422,0.2399864576895494,1475.9013200998306,20251228_210046
lit_013,entity,3,fact,729,118.94758605957031,134.70257568359375,0.2446376988255914,2889.599547624588,20251228_210046
lit_013,entity,3,hallucination,400,84.03211975097656,107.7800064086914,0.24400269412178033,1476.8727272748947,20251228_210046
lit_014,entity,2,fact,827,132.35870361328125,136.89614868164062,0.24969265377188954,3327.848701119423,20251228_210046
lit_014,entity,2,hallucination,498,100.52710723876953,109.98372650146484,0.25572288603058135,1960.0685036182404,20251228_210046
lit_015,entity,3,fact,460,94.98965454101562,120.8145523071289,0.2485389796520927,1763.0804088115692,20251228_210046
lit_015,entity,3,hallucination,283,60.94051742553711,96.47660827636719,0.2179256163293566,923.468320608139,20251228_210046
lit_016,entity,3,fact,643,121.3727035522461,129.99481201171875,0.2637469304519655,2589.5760264396667,20251228_210046
lit_016,entity,3,hallucination,434,91.67282104492188,104.2248764038086,0.24813222767535148,1657.2606012821198,20251228_210046
lit_017,entity,2,fact,234,67.34263610839844,106.17845916748047,0.24648478399575158,915.3779655694962,20251228_210046
lit_017,entity,2,hallucination,699,122.35990142822266,126.5419921875,0.2623019129372486,2757.402101635933,20251228_210046
lit_018,entity,3,fact,318,72.20465087890625,114.19268798828125,0.23326430575985024,1147.6011531352997,20251228_210046
lit_018,entity,3,hallucination,379,81.55455780029297,120.7538833618164,0.2362072040829466,1416.8182356357574,20251228_210046
