sample_id,domain,complexity,condition,l0_norm,sphericity,elongation,shape_class,eigenvalue_entropy,dimensionality,misalignment_angle,lambda_1,lambda_2,lambda_3,run_id
geo_001,entity,3,fact,727,0.7233703136444092,0.7740249633789062,Triaxial,6.282373,403.086018808006,80.24058647442098,0.01453225314617157,0.008706485852599144,0.007604214828461409,20251228_220922
geo_001,entity,3,hallucination,716,0.9389438629150391,0.9660170674324036,Spherical,6.2817106,419.07120883603653,80.95493812853195,0.009196250699460506,0.008581840433180332,0.008107557892799377,20251228_220922
geo_002,entity,2,fact,665,0.7641972899436951,0.9745834469795227,Triaxial,6.228353,398.02332455852303,84.90146760338524,0.011636840179562569,0.011052820831537247,0.006795885041356087,20251228_220922
geo_002,entity,2,hallucination,382,0.6181217432022095,0.7794533371925354,Triaxial,5.7125297,230.0483862319204,73.79470719744938,0.025202881544828415,0.015311947092413902,0.009629377163946629,20251228_220922
geo_003,entity,3,fact,536,0.820136547088623,0.9696632027626038,Triaxial,6.050462,341.09422903744706,77.90035664438562,0.011776856146752834,0.011073149740695953,0.007921394892036915,20251228_220922
geo_003,entity,3,hallucination,950,0.6602818965911865,0.7691842317581177,Triaxial,6.4827805,481.6127474825428,81.16469979904193,0.013143714517354965,0.007776404265314341,0.005730293225497007,20251228_220922
geo_004,entity,4,fact,505,0.7394776344299316,0.7946404218673706,Triaxial,5.972716,297.7069287019132,78.1039632286479,0.019709477201104164,0.012445615604519844,0.010777677409350872,20251228_220922
geo_004,entity,4,hallucination,982,0.8525962829589844,0.8759654760360718,Triaxial,6.5316734,518.9374894171613,85.28948720157834,0.010020599700510502,0.007688961923122406,0.007284177932888269,20251228_220922
geo_005,entity,3,fact,1478,0.8680799007415771,0.9319656491279602,Triaxial,6.8016567,657.5025537545291,89.30367378065868,0.007198132108896971,0.006252008955925703,0.005424244329333305,20251228_220922
geo_005,entity,3,hallucination,921,0.6745045185089111,0.7221154570579529,Triaxial,6.4880705,498.9010694073235,80.34286607354156,0.012259732000529766,0.006392846815288067,0.005577643867582083,20251228_220922
geo_006,entity,4,fact,712,0.6278107166290283,0.6625231504440308,Triaxial,6.2763767,407.6799031807911,78.99317518733488,0.015546586364507675,0.006823971401900053,0.006127628963440657,20251228_220922
geo_006,entity,4,hallucination,278,0.7462629675865173,0.9170143604278564,Triaxial,5.4167113,172.38884902832703,80.97775734590988,0.026680108159780502,0.022435711696743965,0.014858377166092396,20251228_220922
geo_007,entity,3,fact,832,0.7349213361740112,0.8459427952766418,Triaxial,6.380274,440.4328495941651,83.1981544113818,0.01282679196447134,0.009179098531603813,0.006927869748324156,20251228_220922
geo_007,entity,3,hallucination,743,0.8798907399177551,0.9519769549369812,Triaxial,6.325816,446.1268341009105,86.52918460701795,0.008324646390974522,0.007544295396655798,0.006445004604756832,20251228_220922
geo_008,entity,4,fact,542,0.8155703544616699,0.8998460173606873,Triaxial,6.063411,351.0565978837079,73.49625342750215,0.011235836893320084,0.009097914211452007,0.007473573088645935,20251228_220922
geo_008,entity,4,hallucination,520,0.8871188163757324,0.9538072347640991,Triaxial,6.0374093,350.0070732060157,82.47228882534114,0.008491185493767262,0.007724840193986893,0.006682391278445721,20251228_220922
geo_009,entity,3,fact,421,0.6489810347557068,0.7614272236824036,Triaxial,5.8166156,260.8650500098039,75.54414471781008,0.022305941209197044,0.01293234620243311,0.009394735097885132,20251228_220922
geo_009,entity,3,hallucination,599,0.8067070841789246,0.8233194947242737,Triaxial,6.129556,358.39893062447794,83.15688004254777,0.013985710218548775,0.009480283595621586,0.009101568721234798,20251228_220922
geo_010,entity,2,fact,773,0.6269347071647644,0.8126000165939331,Triaxial,6.3173833,406.1948603710346,79.00877387710078,0.015991004183888435,0.010559161193668842,0.006285218056291342,20251228_220922
geo_010,entity,2,hallucination,687,0.7010964751243591,0.9407943487167358,Triaxial,6.2396107,392.2345634934641,82.24511866835356,0.013548619113862514,0.011991800740361214,0.006659637670964003,20251228_220922
geo_011,entity,3,fact,768,0.8558158278465271,0.9138064384460449,Triaxial,6.3406205,444.93936888945416,88.24290134361367,0.009014482609927654,0.007527473848313093,0.0066023943945765495,20251228_220922
geo_011,entity,3,hallucination,690,0.936886191368103,0.9864568710327148,Spherical,6.260583,412.86895010990327,82.68036437594041,0.009530865587294102,0.009274457581341267,0.008365771733224392,20251228_220922
geo_012,entity,4,fact,408,0.6739240288734436,0.7800928354263306,Triaxial,5.804651,269.38851431630366,73.46773198654729,0.01823250949382782,0.011095299385488033,0.008280724287033081,20251228_220922
geo_012,entity,4,hallucination,502,0.7334903478622437,0.9002352952957153,Triaxial,5.9877315,316.10941731202155,72.27972066996983,0.015435346402227879,0.012509169988334179,0.00830434262752533,20251228_220922
geo_013,entity,2,fact,869,0.9188164472579956,0.9594600200653076,Spherical,6.448293,498.50618741677215,84.53493336863016,0.00687764585018158,0.006331309210509062,0.005806270521134138,20251228_220922
geo_013,entity,2,hallucination,630,0.7248679995536804,0.8429824709892273,Triaxial,6.156473,351.8961681380438,81.7427501938254,0.01672288589179516,0.011883608065545559,0.008786767721176147,20251228_220922
geo_014,entity,3,fact,704,0.8098778128623962,0.854327917098999,Triaxial,6.267702,412.5774223597081,76.58832750154365,0.011469115503132343,0.008371035568416119,0.007522617466747761,20251228_220922
geo_014,entity,3,hallucination,772,0.8348285555839539,0.856320321559906,Triaxial,6.3471293,448.3033323867433,84.48514400740791,0.009186994284391403,0.006736679933965206,0.006402771454304457,20251228_220922
geo_015,entity,2,fact,937,0.6949173808097839,0.8946892619132996,Triaxial,6.482286,485.19913487217354,82.70846772346286,0.012142793275415897,0.009719927795231342,0.005863877944648266,20251228_220922
geo_015,entity,2,hallucination,601,0.558322012424469,0.7886756658554077,Triaxial,6.119588,333.85518398777356,75.29758252491071,0.021031834185123444,0.013081996701657772,0.006556116044521332,20251228_220922
geo_016,entity,3,fact,391,0.5848225355148315,0.7854313254356384,Triaxial,5.7081504,209.56676771303657,71.76118589948139,0.031989552080631256,0.01973443292081356,0.010940982960164547,20251228_220922
geo_016,entity,3,hallucination,522,0.8990535140037537,0.9635528922080994,Triaxial,6.033148,344.37477213486534,77.76727857594325,0.008958360180258751,0.008317247033119202,0.007241017650812864,20251228_220922
geo_017,entity,2,fact,1076,0.9032494425773621,0.9770110845565796,Spherical,6.609114,576.0811608922215,79.96856003683214,0.005883132107555866,0.005615748465061188,0.004799810238182545,20251228_220922
geo_017,entity,2,hallucination,790,0.7383375763893127,0.7936339974403381,Triaxial,6.357247,442.8630410160995,76.78122807368905,0.012158074416220188,0.0076578231528401375,0.006627881899476051,20251228_220922
geo_018,entity,3,fact,273,0.853156328201294,0.9020812511444092,Triaxial,5.4677925,207.76648018419473,75.15589469338897,0.013983598910272121,0.011379162780940533,0.010178322903811932,20251228_220922
geo_018,entity,3,hallucination,724,0.6393574476242065,0.7661046981811523,Triaxial,6.304982,428.47518223451254,80.82988550185024,0.013472774997353554,0.007907392457127571,0.005507373716682196,20251228_220922
geo_019,entity,2,fact,441,0.7427219748497009,0.9071926474571228,Triaxial,5.867867,279.8939969015603,80.09410835799356,0.017471978440880775,0.014379411935806274,0.009638171643018723,20251228_220922
geo_019,entity,2,hallucination,511,0.6689244508743286,0.691845715045929,Triaxial,6.010561,325.24353085356904,78.5587824146459,0.017280424013733864,0.008271283470094204,0.007732298690825701,20251228_220922
geo_020,entity,3,fact,558,0.7928497791290283,0.8078153133392334,Triaxial,6.069788,338.3745771386003,81.42120843487669,0.015527958050370216,0.01013301033526659,0.009761041961610317,20251228_220922
geo_020,entity,3,hallucination,356,0.7660679817199707,0.812407910823822,Triaxial,5.668088,230.80895774996694,79.92277492049908,0.020943649113178253,0.013822948560118675,0.012290994636714458,20251228_220922
lit_001,entity,2,fact,435,0.8325098752975464,0.9864718317985535,Triaxial,5.8525114,277.0959203366575,89.39034404773149,0.015104022808372974,0.014698127284646034,0.010468185879290104,20251228_220922
lit_001,entity,2,hallucination,801,0.9022745490074158,0.9552313685417175,Spherical,6.381786,470.5223480994557,78.85044452949958,0.007162234280258417,0.006535302381962538,0.005830769892781973,20251228_220922
lit_002,entity,2,fact,364,0.5214600563049316,0.7393893599510193,Triaxial,5.6535177,203.18133779054068,69.82876470595032,0.032974932342767715,0.018027285113930702,0.00896656233817339,20251228_220922
lit_002,entity,2,hallucination,430,0.7720860838890076,0.8148707747459412,Triaxial,5.8552556,284.9995071985901,83.19631566171324,0.014981194399297237,0.009947728365659714,0.00893054436892271,20251228_220922
lit_003,entity,3,fact,459,0.8135732412338257,0.8428162336349487,Triaxial,5.9037905,297.75367137020015,76.07999103501287,0.013827870599925518,0.009822478517889977,0.009152687154710293,20251228_220922
lit_003,entity,3,hallucination,774,0.9276652336120605,0.9635051488876343,Spherical,6.342906,440.61987818515865,89.68117121533254,0.009594902396202087,0.008907352574169636,0.008257015608251095,20251228_220922
lit_004,entity,2,fact,746,0.7920138835906982,0.8193944692611694,Triaxial,6.323171,442.90305690077184,72.81081623314941,0.009673506952822208,0.006494863890111446,0.006068055983632803,20251228_220922
lit_004,entity,2,hallucination,496,0.8483492136001587,0.886806309223175,Triaxial,5.9954133,333.24180455351876,78.07706468601975,0.01092825923115015,0.008594260551035404,0.007865028455853462,20251228_220922
lit_005,entity,3,fact,700,0.8293427228927612,0.901678204536438,Triaxial,6.2679954,410.1209352336396,72.9302191470309,0.011986902914941311,0.009745636023581028,0.008244704455137253,20251228_220922
lit_005,entity,3,hallucination,665,0.7482537031173706,0.8782131671905518,Triaxial,6.2235594,396.58567719473274,72.96176922577334,0.01169640850275755,0.009020953439176083,0.006548628211021423,20251228_220922
lit_006,entity,2,fact,523,0.5979096293449402,0.8253148794174194,Oblate,5.984513,288.33319083408304,75.7164765196062,0.022787371650338173,0.015521496534347534,0.008146393112838268,20251228_220922
lit_006,entity,2,hallucination,381,0.8989031314849854,0.9733198285102844,Triaxial,5.7605143,267.50313765905486,79.8204362310373,0.011928373947739601,0.011300362646579742,0.00963844545185566,20251228_220922
lit_007,entity,3,fact,947,0.8194729685783386,0.8514718413352966,Triaxial,6.492115,500.8765412189787,69.0575872725983,0.009264947846531868,0.006717128213495016,0.00622174609452486,20251228_220922
lit_007,entity,3,hallucination,612,0.7405527234077454,0.7513589262962341,Triaxial,6.130363,349.2108159786081,79.68399161804305,0.017485689371824265,0.009871374815702438,0.00958947278559208,20251228_220922
lit_008,entity,2,fact,404,0.5314707159996033,0.5650890469551086,Prolate,5.8078666,259.52827880086153,71.65796852729206,0.026033464819192886,0.008313152939081192,0.0073534417897462845,20251228_220922
lit_008,entity,2,hallucination,755,0.8490937352180481,0.9252399802207947,Triaxial,6.3333793,440.93495937299394,89.86179624701305,0.010138873010873795,0.008679576218128204,0.007309724576771259,20251228_220922
lit_009,entity,3,fact,522,0.8749234676361084,0.8830789923667908,Triaxial,6.042651,351.8212518936691,79.93300807061665,0.009263616986572742,0.007224032189697027,0.007091216742992401,20251228_220922
lit_009,entity,3,hallucination,633,0.7090142965316772,0.7740130424499512,Triaxial,6.1850147,382.69010873905046,81.17703937881262,0.013890717178583145,0.008321874774992466,0.006982881110161543,20251228_220922
lit_010,entity,2,fact,333,0.9128187298774719,0.9701141119003296,Spherical,5.6379213,238.90062014572274,84.17342356729013,0.0128636434674263,0.01210625097155571,0.01071847788989544,20251228_220922
lit_010,entity,2,hallucination,348,0.9572896957397461,0.9622136354446411,Spherical,5.6972027,260.1727572609882,83.50547102634887,0.009455565363168716,0.008754483424127102,0.008665113709867,20251228_220922
lit_011,entity,3,fact,332,0.7892667055130005,0.8408605456352234,Triaxial,5.6349306,237.0184140241557,84.70070575454226,0.015621555969119072,0.011045166291296482,0.009731323458254337,20251228_220922
lit_011,entity,3,hallucination,772,0.8650705814361572,0.9322711825370789,Triaxial,6.3393316,441.01852744547057,86.5072993975349,0.009543846361339092,0.008294838480651379,0.0071421097964048386,20251228_220922
lit_012,entity,2,fact,606,0.8180035352706909,0.8924723863601685,Triaxial,6.1650586,388.0450326644178,84.79339914654518,0.009985759854316711,0.00795372761785984,0.006681770086288452,20251228_220922
